datetime,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3,sub_metering_4
2006-12-16,1209.176,34.922,93552.53,5180.8,0.0,546.0,4926.0,14680.9333193
2006-12-17,3390.46,226.006,345725.32,14398.6,2033.0,4187.0,13341.0,36946.666732
2006-12-18,2203.826,161.792,347373.64,9247.2,1063.0,2621.0,14018.0,19028.433281
2006-12-19,1666.194,150.942,348479.01,7094.0,839.0,7602.0,6197.0,13131.9000435
2006-12-20,2225.748,160.998,348923.61,9313.0,0.0,2648.0,14063.0,20384.8000114
2006-12-21,1723.288,144.434,347096.41,7266.4,1765.0,2692.0,10456.0,13808.4666967
2006-12-22,2341.338,186.906,347305.75,9897.0,3151.0,350.0,11131.0,24390.3000432
2006-12-23,4773.386,221.47,345795.95,20200.4,2669.0,425.0,14726.0,61736.4333858
2006-12-24,2550.012,149.9,348029.91,11002.2,1703.0,5082.0,6891.0,28824.1999673
2006-12-25,2743.12,240.28,350495.9,11450.2,6620.0,1962.0,5795.0,31341.6666291
2006-12-26,3934.11,165.102,347940.63,16341.0,1086.0,2533.0,14979.0,46970.500071
2006-12-27,1528.76,178.902,351025.0,6505.2,0.0,314.0,6976.0,18189.3333015
2006-12-28,2072.638,208.876,350306.4,8764.2,2207.0,4419.0,9176.0,18741.9666063
2006-12-29,3174.392,196.394,346854.68,13350.8,1252.0,5162.0,11329.0,35163.5332927
2006-12-30,2796.108,312.142,346377.15,11952.6,3072.0,7893.0,12516.0,23120.8000451
2006-12-31,3494.196,150.852,345451.07,14687.4,0.0,347.0,6502.0,51387.6000018
2007-01-01,2749.004,148.166,345785.73,11400.4,0.0,352.0,5880.0,39584.7332752
2007-01-02,1269.236,190.342,348399.04,5348.2,0.0,348.0,6562.0,14243.9333455
2007-01-03,1014.054,196.728,350722.21,4340.2,0.0,344.0,4765.0,11791.900019
2007-01-04,3259.412,202.302,345240.43,13648.6,1051.0,7597.0,10896.0,34779.5332894
2007-01-05,2713.364,173.154,346313.9,11354.6,1483.0,379.0,7602.0,35758.733384
2007-01-06,1508.378,192.188,345129.2,6543.2,1336.0,402.0,5678.0,17723.6333396
2007-01-07,2447.62,246.074,346899.58,10487.0,1987.0,8177.0,12810.0,17819.6666662
2007-01-08,2241.36,207.568,344990.81,9434.4,0.0,467.0,17547.0,19342.0000013
